"spp_code","HB_9113_sum","HB_9116_sum","HB_9121_sum","HB_NA_sum","LTB_9113_sum","LTB_9116_sum","LTB_NA_sum","MTB_9113_sum","MTB_9116_sum","MTB_9121_sum","MTB_NA_sum","OTB_9113_sum","OTB_9116_sum","OTB_9121_sum","OTB_NA_sum","HB_9113_mean","HB_9116_mean","HB_9121_mean","HB_NA_mean","LTB_9113_mean","LTB_9116_mean","LTB_NA_mean","MTB_9113_mean","MTB_9116_mean","MTB_9121_mean","MTB_NA_mean","OTB_9113_mean","OTB_9116_mean","OTB_9121_mean","OTB_NA_mean"
"Hem_balao",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.004,0,0,0,0,0,0,0,0
"Hemiramphidae_spp",0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.009,0,0
"Hemiramphus_spp",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003,0,0,0,0,0,0
"Hip_erectus",0,0,0,6,1,9,11,12,5,0,8,17,4,1,10,0,0,0,0.009,0.005,0.026,0.046,0.027,0.013,0,0.016,0.033,0.009,0.037,0.017
"Hip_zosterae",3,1,2,7,9,90,20,32,88,0,21,63,120,13,20,0.026,0.018,0.167,0.011,0.045,0.256,0.084,0.071,0.222,0,0.041,0.122,0.283,0.481,0.033
"Hippocampus_spp",0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.005,0,0,0,0,0,0,0,0.002,0,0
"Hyp_hentz",0,0,0,3,11,15,3,1,6,0,4,0,3,0,3,0,0,0,0.005,0.055,0.043,0.013,0.002,0.015,0,0.008,0,0.007,0,0.005
"Hyp_meeki",8,6,0,61,20,56,25,23,23,0,41,32,98,0,106,0.068,0.105,0,0.092,0.101,0.159,0.105,0.051,0.058,0,0.079,0.062,0.231,0,0.175
"Hyp_unifasciatus",0,0,0,0,0,2,0,1,0,0,0,0,11,0,0,0,0,0,0,0,0.006,0,0.002,0,0,0,0,0.026,0,0
"Hyporhamphus_spp",4,0,0,22,2,1,3,2,36,0,51,13,44,0,23,0.034,0,0,0.033,0.01,0.003,0.013,0.004,0.091,0,0.099,0.025,0.104,0,0.038
"Lactophrys_spp",0,0,0,0,1,0,1,0,2,0,0,3,0,0,0,0,0,0,0,0.005,0,0.004,0,0.005,0,0,0.006,0,0,0
"Lag_rhomboides",437,3346,200,3633,8688,45265,2859,11213,39951,78,4687,20284,15203,159,1884,3.735,58.702,16.667,5.48,43.658,128.594,12.013,25.029,100.886,13,9.083,39.386,35.856,5.889,3.114
"Lei_xanthurus",7,1240,0,2423,1782,97,930,1075,2696,0,1939,4132,2417,0,5028,0.06,21.754,0,3.655,8.955,0.276,3.908,2.4,6.808,0,3.758,8.023,5.7,0,8.311
"Lep_osseus",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002,0,0,0,0,0,0,0,0,0,0,0
"Lim_polyphemus",11,0,0,21,1,5,3,2,9,0,21,10,6,0,18,0.094,0,0,0.032,0.005,0.014,0.013,0.004,0.023,0,0.041,0.019,0.014,0,0.03
"Lop_cyprinoides",0,0,0,4,0,0,0,0,10,0,3,0,5,0,1,0,0,0,0.006,0,0,0,0,0.025,0,0.006,0,0.012,0,0.002
"Luc_parva",2973,309,0,1553,2260,10946,270,4099,5862,76,2660,13270,14684,774,2266,25.41,5.421,0,2.342,11.357,31.097,1.134,9.15,14.803,12.667,5.155,25.767,34.632,28.667,3.745
"Lut_analis",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002,0,0,0
"Lut_griseus",2,0,0,5,44,86,25,27,72,0,18,9,14,0,2,0.017,0,0,0.008,0.221,0.244,0.105,0.06,0.182,0,0.035,0.017,0.033,0,0.003
"Lut_synagris",3,1,0,8,63,96,33,17,27,0,5,4,3,0,5,0.026,0.018,0,0.012,0.317,0.273,0.139,0.038,0.068,0,0.01,0.008,0.007,0,0.008
"Mem_martinica",14,28,1,312,2,15,0,20,0,0,723,159,19,0,490,0.12,0.491,0.083,0.471,0.01,0.043,0,0.045,0,0,1.401,0.309,0.045,0,0.81
"Men_americanus",93,4,3,237,2,4,6,29,8,0,96,93,16,3,272,0.795,0.07,0.25,0.357,0.01,0.011,0.025,0.065,0.02,0,0.186,0.181,0.038,0.111,0.45
"Men_saxatilis",5,0,0,16,13,3,29,19,7,0,35,9,7,0,16,0.043,0,0,0.024,0.065,0.009,0.122,0.042,0.018,0,0.068,0.017,0.017,0,0.026
"Menidia_spp",635,10,18,2020,668,1052,169,4619,2395,0,4139,6851,3689,53,6051,5.427,0.175,1.5,3.047,3.357,2.989,0.71,10.31,6.048,0,8.021,13.303,8.7,1.963,10.002
"Menippe_spp",0,0,0,3,1,7,1,0,2,0,0,1,1,0,2,0,0,0,0.005,0.005,0.02,0.004,0,0.005,0,0,0.002,0.002,0,0.003
"Menticirrhus_spp",0,0,0,8,2,0,0,3,1,0,2,0,0,0,1,0,0,0,0.012,0.01,0,0,0.007,0.003,0,0.004,0,0,0,0.002
"Mic_gulosus",1384,900,42,5152,535,1058,145,1889,2550,38,4398,5901,3645,393,6221,11.829,15.789,3.5,7.771,2.688,3.006,0.609,4.217,6.439,6.333,8.523,11.458,8.597,14.556,10.283
"Mic_thalassinus",1,0,0,3,0,0,0,1,0,0,2,13,0,1,13,0.009,0,0,0.005,0,0,0,0.002,0,0,0.004,0.025,0,0.037,0.021
"Mic_undulatus",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002,0,0,0,0,0,0,0,0,0,0,0
"Mon_ciliatus",0,0,0,0,0,5,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.014,0,0.002,0.003,0,0,0,0,0,0
"Mug_cephalus",2,1,0,453,13,10,16,11,127,0,6,78,3,1,1502,0.017,0.018,0,0.683,0.065,0.028,0.067,0.025,0.321,0,0.012,0.151,0.007,0.037,2.483
"Mug_curema",0,0,0,0,3,2,1,0,0,0,3,32,0,0,0,0,0,0,0,0.015,0.006,0.004,0,0,0,0.006,0.062,0,0,0
"Mug_trichodon",3,0,1,3,0,4,15,0,4,0,0,1,1,0,3,0.026,0,0.083,0.005,0,0.011,0.063,0,0.01,0,0,0.002,0.002,0,0.005
