"spp_code","HB_9113_sum","HB_9116_sum","HB_9121_sum","HB_NA_sum","LTB_9113_sum","LTB_9116_sum","LTB_NA_sum","MTB_9113_sum","MTB_9116_sum","MTB_9121_sum","MTB_NA_sum","OTB_9113_sum","OTB_9116_sum","OTB_9121_sum","OTB_NA_sum","HB_9113_mean","HB_9116_mean","HB_9121_mean","HB_NA_mean","LTB_9113_mean","LTB_9116_mean","LTB_NA_mean","MTB_9113_mean","MTB_9116_mean","MTB_9121_mean","MTB_NA_mean","OTB_9113_mean","OTB_9116_mean","OTB_9121_mean","OTB_NA_mean"
"Sph_nephelus",33,23,3,220,66,131,45,141,189,3,167,215,171,6,154,0.282,0.404,0.25,0.332,0.332,0.372,0.189,0.315,0.477,0.5,0.324,0.417,0.403,0.222,0.255
"Sph_spengleri",0,0,0,0,0,0,1,0,1,0,1,2,0,0,0,0,0,0,0,0,0,0.004,0,0.003,0,0.002,0.004,0,0,0
"Sph_tiburo",0,0,0,0,0,0,1,3,2,0,0,0,1,0,0,0,0,0,0,0,0,0.004,0.007,0.005,0,0,0,0.002,0,0
"Sphoeroides_spp",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002,0,0,0,0
"Ste_hispidus",0,0,0,7,128,312,90,23,55,0,15,8,10,0,3,0,0,0,0.011,0.643,0.886,0.378,0.051,0.139,0,0.029,0.016,0.024,0,0.005
"Ste_setifer",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003,0,0,0,0,0,0,0,0,0
"Str_marina",0,0,1,6,2,5,9,6,15,0,21,4,2,0,26,0,0,0.083,0.009,0.01,0.014,0.038,0.013,0.038,0,0.041,0.008,0.005,0,0.043
"Str_notata",14,2,0,52,8,51,21,316,122,0,137,95,53,0,178,0.12,0.035,0,0.078,0.04,0.145,0.088,0.705,0.308,0,0.266,0.184,0.125,0,0.294
"Str_timucu",0,0,0,2,1,2,2,1,0,0,1,2,0,0,1,0,0,0,0.003,0.005,0.006,0.008,0.002,0,0,0.002,0.004,0,0,0.002
"Strongylura_spp",0,0,0,0,2,3,0,4,3,0,0,8,3,3,5,0,0,0,0,0.01,0.009,0,0.009,0.008,0,0,0.016,0.007,0.111,0.008
"Sym_plagiusa",35,4,2,76,7,3,11,58,14,0,58,56,32,1,48,0.299,0.07,0.167,0.115,0.035,0.009,0.046,0.129,0.035,0,0.112,0.109,0.075,0.037,0.079
"Syn_floridae",1,1,0,3,64,324,56,63,180,0,8,72,140,0,24,0.009,0.018,0,0.005,0.322,0.92,0.235,0.141,0.455,0,0.016,0.14,0.33,0,0.04
"Syn_foetens",49,35,7,278,138,170,182,356,200,5,398,253,120,4,247,0.419,0.614,0.583,0.419,0.693,0.483,0.765,0.795,0.505,0.833,0.771,0.491,0.283,0.148,0.408
"Syn_louisianae",37,99,2,126,20,67,48,121,197,1,98,282,172,17,182,0.316,1.737,0.167,0.19,0.101,0.19,0.202,0.27,0.497,0.167,0.19,0.548,0.406,0.63,0.301
"Syn_scovelli",172,183,8,252,144,435,110,434,955,42,588,1155,1634,198,714,1.47,3.211,0.667,0.38,0.724,1.236,0.462,0.969,2.412,7,1.14,2.243,3.854,7.333,1.18
"Syngnathidae_spp",0,0,0,1,0,0,1,1,0,0,4,0,5,5,0,0,0,0,0.002,0,0,0.004,0.002,0,0,0.008,0,0.012,0.185,0
"Synodontidae_spp",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.005,0,0,0,0,0,0,0,0,0,0
"Tra_carolinus",0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.006,0,0,0,0
"Tra_falcatus",0,0,0,0,0,0,1,2,0,0,2,1,0,0,0,0,0,0,0,0,0,0.004,0.004,0,0,0.004,0.002,0,0,0
"Tri_maculatus",2,0,0,22,0,0,1,9,1,0,47,32,1,0,13,0.017,0,0,0.033,0,0,0.004,0.02,0.003,0,0.091,0.062,0.002,0,0.021
"Tyl_crocodilus",0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0,0,0,0,0,0,0,0,0,0
"Uro_floridana",0,0,0,0,0,1,2,0,6,0,5,0,0,0,0,0,0,0,0,0,0.003,0.008,0,0.015,0,0.01,0,0,0,0
