bio_reference,species,sl,COUNT,nl
TBM1998021203,8805020300,65,1,10
TBM1998021203,8805020300,78,1,10
TBM1998021203,8820020113,72,1,1
TBM1998021203,8835440901,67,1,1
TBM1998021203,8847010701,35,1,2
TBM1998021203,8847010701,42,1,2
TBM1998021204,6177010102,9,1,1
TBM1998021204,6189010301,73,1,1
TBM1998021204,8747020202,57,1,1
TBM1998021204,8803020202,178,1,6
TBM1998021204,8803020202,183,1,6
TBM1998021204,8803020202,187,1,6
TBM1998021204,8803020202,193,1,6
TBM1998021204,8803020202,210,1,6
TBM1998021204,8803020202,230,1,6
TBM1998021204,8805020300,73,1,10
TBM1998021204,8805020300,74,1,10
TBM1998021204,8805020300,76,1,10
TBM1998021204,8805020300,78,1,10
TBM1998021204,8805020300,79,1,10
TBM1998021204,8805020300,80,1,10
TBM1998021204,8805020300,84,1,10
TBM1998021204,8805020300,86,2,10
TBM1998021204,8805020300,87,1,10
TBM1998021204,8847010701,27,1,1
TBM1998021205,6177010102,5,1,1
TBM1998021205,6189010301,9,1,13
TBM1998021205,6189010301,11,1,13
TBM1998021205,6189010301,13,4,13
TBM1998021205,6189010301,14,1,13
TBM1998021205,6189010301,15,1,13
TBM1998021205,6189010301,16,1,13
TBM1998021205,6189010301,17,1,13
TBM1998021205,6189010301,22,1,13
TBM1998021205,6189010301,26,1,13
TBM1998021205,6189010301,28,1,13
TBM1998021205,8804040501,33,1,7
TBM1998021205,8804040501,34,1,7
TBM1998021205,8804040501,37,1,7
TBM1998021205,8804040501,39,1,7
TBM1998021205,8804040501,41,1,7
TBM1998021205,8804040501,43,1,7
TBM1998021205,8804040501,45,1,7
TBM1998021205,8805020300,31,1,9
TBM1998021205,8805020300,33,2,9
TBM1998021205,8805020300,35,1,9
TBM1998021205,8805020300,36,1,9
TBM1998021205,8805020300,37,1,9
TBM1998021205,8805020300,38,1,9
TBM1998021205,8805020300,45,1,9
TBM1998021205,8805020300,58,1,9
TBM1998021205,8835430201,16,1,2
TBM1998021205,8835430201,20,1,2
TBM1998021205,8836010101,23,1,1
TBM1998021205,8857030302,25,1,2
TBM1998021205,8857030302,26,1,2
TBM1998021205,8858030202,24,1,1
TBM1998021206,6189010301,14,1,1
TBM1998021206,8804040101,40,1,1
TBM1998021206,8805020300,29,1,1
TBM1998021206,8835430201,15,1,3
TBM1998021206,8835430201,16,1,3
TBM1998021206,8835430201,17,1,3
TBM1998021206,8835440401,11,1,2
TBM1998021206,8835440401,20,1,2
TBM1998021206,8836010101,22,1,7
TBM1998021206,8836010101,24,4,7
TBM1998021206,8836010101,25,2,7
TBM1998021206,8836010102,23,1,1
TBM1998021303,6177010102,5,1,2
TBM1998021303,6177010102,8,1,2
TBM1998021303,8762020101,42,1,2
TBM1998021303,8762020101,68,1,2
TBM1998021303,8820020113,128,1,1
TBM1998021303,8820020205,26,1,1
TBM1998021303,8835390100,18,1,20
TBM1998021303,8835390100,20,3,20
TBM1998021303,8835390100,21,3,20
TBM1998021303,8835390100,22,4,20
TBM1998021303,8835390100,23,4,20
TBM1998021303,8835390100,24,2,20
TBM1998021303,8835390100,25,1,20
TBM1998021303,8835390100,26,1,20
TBM1998021303,8835390100,28,1,20
TBM1998021303,8835400201,15,1,20
TBM1998021303,8835400201,17,2,20
TBM1998021303,8835400201,20,3,20
TBM1998021303,8835400201,23,2,20
TBM1998021303,8835400201,24,4,20
TBM1998021303,8835400201,25,3,20
TBM1998021303,8835400201,26,1,20
TBM1998021303,8835400201,27,3,20
TBM1998021303,8835400201,28,1,20
TBM1998021303,8835430201,14,1,20
TBM1998021303,8835430201,15,1,20
TBM1998021303,8835430201,16,1,20
TBM1998021303,8835430201,17,4,20
TBM1998021303,8835430201,18,6,20
TBM1998021303,8835430201,19,2,20
TBM1998021303,8835430201,20,3,20
TBM1998021303,8835430201,21,2,20
TBM1998021303,8835440401,14,1,24
TBM1998021303,8835440401,15,3,24
TBM1998021303,8835440401,16,4,24
TBM1998021303,8835440401,17,3,24
TBM1998021303,8835440401,18,2,24
TBM1998021303,8835440401,19,1,24
TBM1998021303,8835440401,20,6,24
TBM1998021303,8835440401,22,1,24
TBM1998021303,8835440401,23,1,24
TBM1998021303,8835440401,24,1,24
TBM1998021303,8835440401,25,1,24
TBM1998021303,8836010101,20,1,2
TBM1998021303,8836010101,25,1,2
TBM1998021303,8847010603,17,1,2
TBM1998021303,8847010603,21,1,2
TBM1998021303,8847010701,27,1,5
TBM1998021303,8847010701,28,2,5
TBM1998021303,8847010701,30,1,5
TBM1998021303,8847010701,35,1,5
TBM1998021303,8861030101,66,1,1
TBM1998021304,8835430201,16,1,10
TBM1998021304,8835430201,17,2,10
TBM1998021304,8835430201,18,4,10
TBM1998021304,8835430201,19,1,10
TBM1998021304,8835430201,21,1,10
TBM1998021304,8835430201,28,1,10
TBM1998021304,8835440401,13,1,3
TBM1998021304,8835440401,18,1,3
TBM1998021304,8835440401,22,1,3
TBM1998021304,8847010701,32,1,1
TBM1998021703,8762020101,51,1,1
TBM1998021703,8835400201,18,1,1
TBM1998021704,8835390102,63,1,1
TBM1998021704,8835430201,65,3,10
TBM1998021704,8835430201,70,2,10
TBM1998021704,8835430201,71,1,10
TBM1998021704,8835430201,73,1,10
TBM1998021704,8835430201,75,2,10
TBM1998021704,8835430201,80,1,10
TBM1998021704,8861010208,49,1,1
TBM1998022015,8747010400,19,1,5
TBM1998022015,8747010400,25,1,5
TBM1998022015,8747010400,26,2,5
TBM1998022015,8747010400,33,1,5
TBM1998022015,8747020202,20,1,10
TBM1998022015,8747020202,22,1,10
TBM1998022015,8747020202,26,1,10
TBM1998022015,8747020202,27,3,10
TBM1998022015,8747020202,29,2,10
TBM1998022015,8747020202,31,1,10
TBM1998022015,8747020202,33,1,10
TBM1998022015,8805020300,63,1,8
TBM1998022015,8805020300,67,1,8
TBM1998022015,8805020300,69,1,8
TBM1998022015,8805020300,71,1,8
TBM1998022015,8805020300,75,2,8
TBM1998022015,8805020300,85,1,8
TBM1998022015,8805020300,87,1,8
TBM1998022015,8826020103,51,1,1
TBM1998022015,8835430201,15,1,1
TBM1998022015,8835440401,13,2,9
TBM1998022015,8835440401,14,1,9
TBM1998022015,8835440401,15,2,9
TBM1998022015,8835440401,16,2,9
TBM1998022015,8835440401,19,1,9
TBM1998022015,8835440401,29,1,9
TBM1998022015,8857030302,16,1,6
TBM1998022015,8857030302,19,1,6
TBM1998022015,8857030302,23,1,6
TBM1998022015,8857030302,32,1,6
TBM1998022015,8857030302,35,2,6
TBM1998022501,8762020101,37,1,1
TBM1998022501,8820020113,111,1,1
TBM1998022501,8835430201,14,1,2
TBM1998022501,8835430201,16,1,2
TBM1998022501,8835440601,19,1,1
TBM1998022501,8835440603,21,1,2
TBM1998022501,8835440603,32,1,2
TBM1998022501,8858030202,19,1,1
TBM1998022503,8747020202,32,1,2
TBM1998022503,8747020202,35,1,2
TBM1998022503,8805020300,39,2,26
TBM1998022503,8805020300,40,1,26
TBM1998022503,8805020300,41,1,26
TBM1998022503,8805020300,42,1,26
TBM1998022503,8805020300,43,2,26
TBM1998022503,8805020300,44,2,26
TBM1998022503,8805020300,45,2,26
TBM1998022503,8805020300,47,1,26
TBM1998022503,8805020300,49,1,26
TBM1998022503,8805020300,56,1,26
TBM1998022503,8805020300,60,1,26
TBM1998022503,8805020300,61,1,26
TBM1998022503,8805020300,64,1,26
TBM1998022503,8805020300,65,2,26
TBM1998022503,8805020300,66,2,26
TBM1998022503,8805020300,68,2,26
TBM1998022503,8805020300,69,1,26
TBM1998022503,8805020300,70,1,26
TBM1998022503,8805020300,73,1,26
TBM1998022503,8835430201,16,2,13
TBM1998022503,8835430201,17,4,13
TBM1998022503,8835430201,18,4,13
TBM1998022503,8835430201,19,1,13
TBM1998022503,8835430201,22,1,13
TBM1998022503,8835430201,25,1,13
TBM1998022503,8835440401,15,1,43
TBM1998022503,8835440401,16,2,43
TBM1998022503,8835440401,17,7,43
TBM1998022503,8835440401,18,9,43
TBM1998022503,8835440401,19,8,43
TBM1998022503,8835440401,20,7,43
TBM1998022503,8835440401,21,6,43
TBM1998022503,8835440401,22,1,43
TBM1998022503,8835440401,23,1,43
TBM1998022503,8835440401,24,1,43
TBM1998031005,8805020300,75,1,1
TBM1998031005,8835440401,15,2,7
TBM1998031005,8835440401,17,1,7
TBM1998031005,8835440401,18,3,7
TBM1998031005,8835440401,23,1,7
TBM1998031005,8857030302,19,1,1
TBM1998031008,8835430201,18,2,2
TBM1998031008,8835440401,16,1,2
TBM1998031008,8835440401,22,1,2
TBM1998031008,8857030302,55,1,1
TBM1998031304,8820020102,96,1,11
TBM1998031304,8820020102,109,1,11
TBM1998031304,8820020102,113,1,11
TBM1998031304,8820020102,118,2,11
TBM1998031304,8820020102,122,1,11
TBM1998031304,8820020102,128,1,11
TBM1998031304,8820020102,129,1,11
TBM1998031304,8820020102,133,1,11
TBM1998031304,8820020102,141,1,11
TBM1998031304,8820020102,142,1,11
TBM1998031304,8820020113,72,1,2
TBM1998031304,8820020113,77,1,2
TBM1998031304,8820020205,20,1,4
TBM1998031304,8820020205,23,1,4
TBM1998031304,8820020205,27,1,4
TBM1998031304,8820020205,30,1,4
TBM1998031304,8835390100,28,2,5
TBM1998031304,8835390100,30,1,5
TBM1998031304,8835390100,31,1,5
TBM1998031304,8835390100,32,1,5
TBM1998031304,8835400201,18,2,13
TBM1998031304,8835400201,21,4,13
TBM1998031304,8835400201,22,3,13
TBM1998031304,8835400201,27,1,13
TBM1998031304,8835400201,28,1,13
TBM1998031304,8835400201,31,1,13
TBM1998031304,8835400201,32,1,13
TBM1998031304,8835430201,16,1,10
TBM1998031304,8835430201,18,1,10
TBM1998031304,8835430201,21,1,10
TBM1998031304,8835430201,22,1,10
TBM1998031304,8835430201,24,2,10
TBM1998031304,8835430201,26,2,10
TBM1998031304,8835430201,27,2,10
TBM1998031304,8835440401,14,1,60
TBM1998031304,8835440401,15,1,60
TBM1998031304,8835440401,16,1,60
TBM1998031304,8835440401,17,5,60
TBM1998031304,8835440401,18,9,60
TBM1998031304,8835440401,20,1,60
TBM1998031304,8835440401,21,6,60
TBM1998031304,8835440401,22,8,60
TBM1998031304,8835440401,23,4,60
TBM1998031304,8835440401,24,3,60
TBM1998031304,8835440401,25,3,60
TBM1998031304,8835440401,26,6,60
TBM1998031304,8835440401,27,3,60
TBM1998031304,8835440401,28,4,60
TBM1998031304,8835440401,31,1,60
TBM1998031304,8835440401,32,3,60
TBM1998031304,8835440401,37,1,60
TBM1998031304,8836010102,22,3,30
TBM1998031304,8836010102,23,4,30
