NODCCODE,TSN,spp_code,Scientificname,Commonname,Manufactured_nodccode,Manufactured_tsn,spp_code_old
6179110803,96465,Pal. floridanus,Palaemon floridanus,Florida Grass Shrimp,0,0,P. floridanus
6179111300,96544,Brachycarpus spp.,Brachycarpus spp.,grass shrimp,0,0,Brachycarpus spp.
6179111301,96545,Bra. biunguiculatus,Brachycarpus biunguiculatus,Twoclaw Shrimp,0,0,B. biunguiculatus
6179140000,96600,Alpheidae spp.,Alpheidae spp.,Snapping Shrimp,0,0,Alpheidae spp.
6179150000,96735,Ogyrididae spp.,Ogyrididae spp.,Longeye Shrimps,0,0,Ogyrididae spp.
6179150100,96736,Ogyrides spp.,Ogyrides spp.,Longeye Shrimps,0,0,Ogyrides spp
6179150101,96737,Ogy. alphaerostris,Ogyrides alphaerostris,Estuarine Longeye Shrimp,0,0,O. alphaerostris
6179160000,96746,Hippolytidae spp.,Hippolytidae spp.,grass shrimp,0,0,Hippolytidae spp.
6179160100,96747,Hippolyte spp.,Hippolyte spp.,grass shrimp,0,0,Hippolyte spp.
6179160104,96751,Hip. zostericola,Hippolyte zostericola,Zostera Shrimp,0,0,H. zostericola
6179160600,96869,Latreutes spp.,Latreutes spp.,grass shrimp,0,0,Latreutes spp.
6179160602,96871,Lat. parvulus,Latreutes parvulus,Sargassum Shrimp,0,0,L. parvulus
6179161100,96892,Lysmata spp.,Lysmata spp.,grass shrimp,0,0,Lysmata spp.
6179161101,96893,Lys. wurdemanni,Lysmata wurdemanni,Peppermint Shrimp,0,0,L. wurdemanni
6179161103,96895,Lys. rathbunae,Lysmata rathbunae,Rathbun Cleaner Shrimp,0,0,L. rathbunae
6179161109,621164,Lys. amboinensis,Lysmata amboinensis,Scarlet Cleaner Shrimp,1,1,L. amboinensis
6179161200,96911,Tozeuma spp.,Tozeuma spp.,Arrow Shrimp,0,0,Tozeuma spp.
6179161201,96912,Toz. carolinense,Tozeuma carolinense,Arrow Shrimp,0,0,T. carolinense
6179161400,96917,Thor spp.,Thor spp.,grass shrimp,0,0,Thor spp.
6179161402,96919,Tho. manningi,Thor manningi,Manning Grass Shrimp,0,0,T. manningi
6179161404,96921,Tho. dobkini,Thor dobkini,grass shrimp,0,0,T. dobkini
6179170000,96941,Processidae spp.,Processidae spp.,grass shrimp,0,0,Processidae spp.
6179170300,96962,Ambidexter spp.,Ambidexter spp.,grass shrimp,0,0,Ambidexter spp.
6179170301,96963,Amb. symmetricus,Ambidexter symmetricus,grass shrimp,0,0,A. symmetricus
6182010000,97646,Palinuridae spp.,Palinuridae spp.,lobsters,0,0,Palinuridae spp.
6182010100,97647,Panulirus spp.,Panulirus spp.,lobsters,0,0,Panulirus spp.
6182010101,97648,Pan. argus,Panulirus argus,Spiny Lobster,0,0,P. argus
6182010104,97651,Pan. guttatus,Panulirus guttatus,Spotted Spiny Lobster,0,0,P. guttatus
6182010105,97652,Pan. laevicauda,Panulirus laevicauda,Smoothtail Spiny Lobster,0,0,P. laevicauda
6182020000,97660,Scyllaridae spp.,Scyllaridae spp.,slipper lobsters,0,0,Scyllaridae spp.
6182020100,97661,Scyllarus spp.,Scyllarus spp.,slipper lobsters,0,0,Scyllarus spp.
6182020101,97662,Scy. depressus,Scyllarus depressus,Scaled Slipper Lobster,0,0,S. depressus
6182020102,97665,Scy. chacei,Scyllarus chacei,Chace Slipper Lobster,0,0,S. chacei
6182020104,97667,Scy. americanus,Scyllarus americanus,American Slipper Lobster,0,0,S. americanus
6182020105,97670,Scy. faxoni,Scyllarus faxoni,slipper lobsters,0,0,S. faxoni
6182020200,97671,Scyllarides spp.,Scyllarides spp.,slipper lobsters,0,0,Scyllarides spp.
6182020202,97673,Scy. nodifer,Scyllarides nodifer,Ridged Slipper Lobster,0,0,S. nodifer
6182020203,97676,Scy. aequinoctialis,Scyllarides aequinoctialis,Spanish Slipper Lobster,0,0,S. aequinoctialis
6182020300,97681,Parribacus spp.,Parribacus spp.,slipper lobsters,0,0,Parribacus spp.
6182020301,97682,Par. antarcticus,Parribacus antarcticus,Sculptured Mitten Lobster,0,0,P antarcticus
6186020000,98340,Calappidae spp.,Calappidae spp.,Box Crabs,0,0,Calappidae spp.
6186020100,98341,Calappa spp.,Calappa spp.,box crabs,0,0,Calappa spp.
6186020101,98342,Cal. flammea,Calappa flammea,Flame Box Crab,0,0,C. flammea
6186020200,98347,Hepatus spp.,Hepatus spp.,Box Crabs,0,0,Hepatus spp.
6186020201,98348,Hep. epheliticus,Hepatus epheliticus,Calico Box Crab,0,0,H. epheliticus
6187012400,98513,Stenocionops spp.,Stenocionops spp.,spider crabs,0,0,Stenocionops spp.
6.18701E+11,98515,Ste. furcatus coelatus,Stenocionops furcatus coelatus,Furcate Spider Crab,0,0,S. furcatus coelatus
6187012402,98517,Ste. spinimanus,Stenocionops spinimanus,Prickly Spider Crab,0,0,S. spinimanus
6189010000,98689,Portunidae spp.,Portunidae spp.,Swimming Crabs,0,0,Portinudae spp.
6189010100,98690,Arenaeus spp.,Arenaeus spp.,swimming crabs,0,0,Arenaeus spp.
6189010101,98691,Are. cribrarius,Arenaeus cribrarius,Speckled Swimming Crab,0,0,A. cribrarius
6189010300,98695,Callinectes spp.,Callinectes spp.,swimming crabs,0,0,Callinectes spp.
6189010301,98696,Cal. sapidus,Callinectes sapidus,Blue Crab,0,0,C. sapidus
6189010302,98697,Cal. similis,Callinectes similis,Lesser Blue Crab,0,0,C. similis
6189010303,98698,Cal. danae,Callinectes danae,Dana Swimming Crab,0,0,C. danae
6189010304,98699,Cal. ornatus,Callinectes ornatus,Shelligs,0,0,C. ornatus
6189010308,98703,Cal. bocourti,Callinectes bocourti,Bocourt Swimming Crab,0,0,C. bocourti
6189010309,98704,Cal. exasperatus,Callinectes exasperatus,Rugose Swimming Crab,0,0,C. exasperaturs
6189010310,98705,Cal. larvatus,Callinectes larvatus,Masked Swimming Crab,0,0,C. larvatus
6189010600,98717,Portunus spp.,Portunus spp.,Portunus Crabs,0,0,Portunus spp.
6189010601,98718,Por. gibbesii,Portunus gibbesii,Iridescent Swimming Crab,0,0,P. gibbesi
6189010604,98721,Por. spinimanus,Portunus spinimanus,Blotched Swimming Crab,0,0,P. spinimanus
6189011100,199968,Charybdis spp.,Charybdis spp.,Indo-Pacific swimming crab,0,0,Charybdis spp.
6189011101,199969,Cha. hellerii,Charybdis hellerii,Indo-Pacific swimming crab,0,0,C. hellerii
6189020000,98748,Xanthidae spp.,Xanthidae spp.,Mud Crabs,0,0,Xanthidae spp.
6189021300,98810,Menippe spp.,Menippe spp.,Stone Crab,0,0,Menippe spp.
6189021301,98811,Men. mercenaria,Menippe mercenaria,Florida Stone Crab,0,0,Men. mercenaria
6189021302,98812,Men. adina,Menippe adina,Gulf Stone Crab,0,0,M. adina
6189021303,98813,Men. nodifrons,Menippe nodifrons,Cuban Stone Crab,0,0,M. nodifrons
6189030000,621503,Menippidae spp.,Menippidae spp.,Stone Crabs,1,0,Menippidae spp.
6189070000,621518,Glyptograpsidae spp.,Glyptograpsidae spp.,engraved crabs,0,0,Glyptograpsidae spp.
